CustomerID,TransactionNum,TransactionID,Date
1,1,TXN-0001-001,11/24/2023
1,2,TXN-0001-002,2/27/2023
2,1,TXN-0002-001,1/13/2023
3,1,TXN-0003-001,5/21/2023
3,2,TXN-0003-002,5/6/2023
3,3,TXN-0003-003,4/25/2023
3,4,TXN-0003-004,3/13/2023
3,5,TXN-0003-005,2/22/2023
4,1,TXN-0004-001,12/13/2023
4,2,TXN-0004-002,10/7/2023
4,3,TXN-0004-003,2/14/2023
4,4,TXN-0004-004,10/30/2023
5,1,TXN-0005-001,8/5/2023
5,2,TXN-0005-002,1/17/2023
5,3,TXN-0005-003,1/16/2023
5,4,TXN-0005-004,2/17/2023
6,1,TXN-0006-001,4/22/2023
6,2,TXN-0006-002,4/30/2023
6,3,TXN-0006-003,9/16/2023
7,1,TXN-0007-001,11/5/2023
7,2,TXN-0007-002,1/14/2023
8,1,TXN-0008-001,10/15/2023
8,2,TXN-0008-002,4/12/2023
8,3,TXN-0008-003,11/29/2023
8,4,TXN-0008-004,12/26/2023
8,5,TXN-0008-005,10/7/2023
8,6,TXN-0008-006,8/3/2023
8,7,TXN-0008-007,4/23/2023
8,8,TXN-0008-008,8/18/2023
8,9,TXN-0008-009,10/29/2023
9,1,TXN-0009-001,5/23/2023
9,2,TXN-0009-002,1/4/2023
10,1,TXN-0010-001,3/23/2023
10,2,TXN-0010-002,12/24/2023
10,3,TXN-0010-003,8/5/2023
10,4,TXN-0010-004,6/24/2023
10,5,TXN-0010-005,5/23/2023
10,6,TXN-0010-006,3/21/2023
10,7,TXN-0010-007,4/21/2023
10,8,TXN-0010-008,6/22/2023
10,9,TXN-0010-009,2/22/2023
10,10,TXN-0010-010,2/17/2023
11,1,TXN-0011-001,7/14/2023
11,2,TXN-0011-002,2/19/2023
11,3,TXN-0011-003,7/3/2023
11,4,TXN-0011-004,6/26/2023
11,5,TXN-0011-005,11/6/2023
11,6,TXN-0011-006,5/16/2023
11,7,TXN-0011-007,1/23/2023
12,1,TXN-0012-001,8/24/2023
13,1,TXN-0013-001,10/2/2023
14,1,TXN-0014-001,3/5/2023
14,2,TXN-0014-002,7/13/2023
15,1,TXN-0015-001,2/10/2023
15,2,TXN-0015-002,10/10/2023
15,3,TXN-0015-003,5/31/2023
15,4,TXN-0015-004,11/18/2023
16,1,TXN-0016-001,11/13/2023
16,2,TXN-0016-002,7/5/2023
16,3,TXN-0016-003,10/23/2023
16,4,TXN-0016-004,4/9/2023
17,1,TXN-0017-001,12/27/2023
17,2,TXN-0017-002,2/5/2023
17,3,TXN-0017-003,1/24/2023
17,4,TXN-0017-004,12/5/2023
17,5,TXN-0017-005,4/27/2023
17,6,TXN-0017-006,5/29/2023
17,7,TXN-0017-007,2/10/2023
17,8,TXN-0017-008,4/30/2023
17,9,TXN-0017-009,2/21/2023
18,1,TXN-0018-001,7/14/2023
18,2,TXN-0018-002,5/23/2023
18,3,TXN-0018-003,8/21/2023
18,4,TXN-0018-004,11/22/2023
18,5,TXN-0018-005,7/6/2023
18,6,TXN-0018-006,3/25/2023
18,7,TXN-0018-007,7/9/2023
18,8,TXN-0018-008,7/1/2023
18,9,TXN-0018-009,4/18/2023
18,10,TXN-0018-010,12/10/2023
19,1,TXN-0019-001,5/17/2023
20,1,TXN-0020-001,12/26/2023
20,2,TXN-0020-002,12/16/2023
20,3,TXN-0020-003,11/28/2023
20,4,TXN-0020-004,2/6/2023
20,5,TXN-0020-005,11/8/2023
20,6,TXN-0020-006,11/22/2023
20,7,TXN-0020-007,3/29/2023
20,8,TXN-0020-008,10/1/2023
20,9,TXN-0020-009,5/6/2023
21,1,TXN-0021-001,3/25/2023
21,2,TXN-0021-002,8/25/2023
21,3,TXN-0021-003,7/14/2023
21,4,TXN-0021-004,5/19/2023
22,1,TXN-0022-001,11/24/2023
22,2,TXN-0022-002,12/19/2023
22,3,TXN-0022-003,10/13/2023
22,4,TXN-0022-004,4/23/2023
22,5,TXN-0022-005,12/17/2023
22,6,TXN-0022-006,6/16/2023
22,7,TXN-0022-007,1/29/2023
22,8,TXN-0022-008,4/28/2023
22,9,TXN-0022-009,1/17/2023
23,1,TXN-0023-001,6/11/2023
23,2,TXN-0023-002,7/25/2023
23,3,TXN-0023-003,5/18/2023
23,4,TXN-0023-004,2/3/2023
23,5,TXN-0023-005,4/19/2023
23,6,TXN-0023-006,10/18/2023
23,7,TXN-0023-007,6/11/2023
24,1,TXN-0024-001,4/19/2023
24,2,TXN-0024-002,12/2/2023
24,3,TXN-0024-003,9/13/2023
24,4,TXN-0024-004,7/22/2023
25,1,TXN-0025-001,11/26/2023
25,2,TXN-0025-002,8/23/2023
25,3,TXN-0025-003,3/15/2023
25,4,TXN-0025-004,5/16/2023
25,5,TXN-0025-005,3/13/2023
25,6,TXN-0025-006,5/7/2023
25,7,TXN-0025-007,10/15/2023
25,8,TXN-0025-008,10/3/2023
26,1,TXN-0026-001,5/15/2023
26,2,TXN-0026-002,10/27/2023
26,3,TXN-0026-003,8/8/2023
26,4,TXN-0026-004,10/26/2023
26,5,TXN-0026-005,7/24/2023
26,6,TXN-0026-006,7/5/2023
26,7,TXN-0026-007,4/23/2023
26,8,TXN-0026-008,3/12/2023
26,9,TXN-0026-009,9/18/2023
26,10,TXN-0026-010,9/10/2023
27,1,TXN-0027-001,2/16/2023
27,2,TXN-0027-002,1/25/2023
27,3,TXN-0027-003,2/26/2023
27,4,TXN-0027-004,3/20/2023
27,5,TXN-0027-005,11/18/2023
28,1,TXN-0028-001,3/23/2023
29,1,TXN-0029-001,12/15/2023
29,2,TXN-0029-002,8/5/2023
29,3,TXN-0029-003,11/2/2023
30,1,TXN-0030-001,2/2/2023
30,2,TXN-0030-002,7/17/2023
30,3,TXN-0030-003,7/15/2023
30,4,TXN-0030-004,11/2/2023
30,5,TXN-0030-005,8/28/2023
30,6,TXN-0030-006,9/28/2023
30,7,TXN-0030-007,5/9/2023
31,1,TXN-0031-001,10/11/2023
31,2,TXN-0031-002,1/6/2023
31,3,TXN-0031-003,12/15/2023
31,4,TXN-0031-004,2/28/2023
